Species Code,Common Name
rucspa,Rufous-crowned Sparrow
mutswa,Mute Swan
oaktit,Oak Titmouse
x01131,American Herring x Glaucous Gull
bknsti,Black-necked Stilt
yebcha,Yellow-breasted Chat
brncre,Brown Creeper
fiespa,Field Sparrow
swaspa,Swamp Sparrow
pilwoo,Pileated Woodpecker
plsvir,Plumbeous Vireo
gresca,Greater Scaup
cliswa,Cliff Swallow
blkswi,Black Swift
canvas,Canvasback
snoplo5,Snowy Plover
swathr,Swainson's Thrush
gnwtea,Green-winged Teal
sancra,Sandhill Crane
ferhaw,Ferruginous Hawk
whimbr,Whimbrel
nswowl,Northern Saw-whet Owl
pinsis,Pine Siskin
bwxtea1,Blue-winged x Cinnamon Teal
eurwig,Eurasian Wigeon
sposan,Spotted Sandpiper
whtspa,White-throated Sparrow
hooori,Hooded Oriole
banswa,Bank Swallow
easpho,Eastern Phoebe
perfal,Peregrine Falcon
gocspa,Golden-crowned Sparrow
ribgul,Ring-billed Gull
bncfly,Brown-crested Flycatcher
rocwre,Rock Wren
logshr,Loggerhead Shrike
belspa2,Bell's Sparrow
amered,American Redstart
towwar,Townsend's Warbler
brespa,Brewer's Sparrow
blkoys,Black Oystercatcher
yelwar,Yellow Warbler
warvir,Warbling Vireo
amewig,American Wigeon
sursco,Surf Scoter
norsho,Northern Shoveler
lobcur,Long-billed Curlew
hamfly,Hammond's Flycatcher
evegro,Evening Grosbeak
amerob,American Robin
treswa,Tree Swallow
wessan,Western Sandpiper
compea,Indian Peafowl
blkter,Black Tern
macwar,MacGillivray's Warbler
bkhgro,Black-headed Grosbeak
rebmer,Red-breasted Merganser
verfly,Vermilion Flycatcher
cedwax,Cedar Waxwing
yebcuc,Yellow-billed Cuckoo
rosgoo,Ross's Goose
horgre,Horned Grebe
bushti,Bushtit
whcspa,White-crowned Sparrow
amwpel,American White Pelican
comgol,Common Goldeneye
x00050,American Herring x Glaucous-winged Gull
commer,Common Merganser
bulori,Bullock's Oriole
gwfgoo,Greater White-fronted Goose
compoo,Common Poorwill
normoc,Northern Mockingbird
x00048,Glaucous x Glacous-winged Gull
bongul,Bonaparte's Gull
goleag,Golden Eagle
norpin,Northern Pintail
x00420,Gadwall x Mallard
clanut,Clark's Nutcracker
redpha1,Red Phalarope
x00652,Ring-necked x Tufted Duck
allhum,Allen's Hummingbird
gnttow,Green-tailed Towhee
retloo,Red-throated Loon
wlswar,Wilson's Warbler
rethaw,Red-tailed Hawk
y00475,American Coot
coshum,Costa's Hummingbird
lobdow,Long-billed Dowitcher
swagoo1,Swan Goose
yebmag,Yellow-billed Magpie
sumtan,Summer Tanager
wilsni1,Wilson's Snipe
grhowl,Great Horned Owl
whwsco2,White-winged Scoter
nrwswa,Northern Rough-winged Swallow
sander,Sanderling
comter,Common Tern
chbchi,Chestnut-backed Chickadee
norhar2,Northern Harrier
dunlin,Dunlin
ameavo,American Avocet
gragoo,Graylag Goose
sonspa,Song Sparrow
bnhcow,Brown-headed Cowbird
wesfly,Western Flycatcher
lessca,Lesser Scaup
rocpig,Rock Pigeon
leasan,Least Sandpiper
batpig1,Band-tailed Pigeon
lawgol,Lawrence's Goldfinch
gadwal,Gadwall
pacwre1,Pacific Wren
woosto,Wood Stork
boboli,Bobolink
whbnut,White-breasted Nuthatch
whfibi,White-faced Ibis
rewbla,Red-winged Blackbird
chukar,Chukar
haiwoo,Hairy Woodpecker
redjun,Red Junglefowl
cowscj1,California Scrub-Jay
amebit,American Bittern
clagre,Clark's Grebe
wilpha,Wilson's Phalarope
redkno,Red Knot
norfli,Northern Flicker
tdxsca1,Tufted Duck x Scaup Sp.
ridrai1,Ridgway's Rail
calqua,California Quail
wesmea,Western Meadowlark
swahaw,Swainson's Hawk
towsol,Townsend's Solitaire
wesgre,Western Grebe
